Donor,CAR,Replicate,ATPADP,GSHGSSG,NADHNAD,aKG,citrate,fumarate,malate,FBP
5,Leu16,1,0.806379005,1.540459871,1.281875707,0.640980051,0.854698979,0.2035269,1.522352435,1.783690294
5,Leu16,2,0.917973602,1.647115749,1.03042596,0.685023452,1.143497443,0.271076298,1.752072857,1.899085639
5,Leu16,3,0.999782198,1.984554279,0.987894397,0.799386237,0.863596789,0.333936742,1.44887002,1.849732756
5,Rituximab.AA,1,0.557553895,2.004252329,0.687287491,0.675812533,1.275270623,0.363207052,1.181816255,3.044349961
5,Rituximab.AA,2,0.710668122,1.230025749,1.443785651,1.160479046,1.473769142,0.389393956,1.454780206,2.838361868
5,Rituximab.AA,3,0.736529527,1.938802727,1.104436655,1.447293538,1.655800174,0.305975133,1.78156961,2.997403756
5,Rituximab,1,0.715477957,1.452095194,0.375795125,0.662717147,1.603849593,0.43248373,1.605075433,3.843700891
5,Rituximab,2,0.924154385,1.038234687,0.766326886,1.175412852,1.878432486,0.292261743,1.32335265,2.418936494
5,Rituximab,3,0.682775031,1.582324297,0.916040647,1.748076059,1.105159191,0.572341855,1.631663542,2.536450658
6,CD19,1,0.514895692,,,1.198640754,1.148847846,0.937371481,1.062427025,0.944906579
6,CD19,2,1.160705173,,,0.871620198,0.844770194,0.822154506,0.845224064,0.739252681
6,CD19,3,1.422440887,,,0.934774984,1.072969321,0.69298484,0.95148799,0.733006571
6,EGFRt,1,0.765532792,,,1.17083775,1.158267563,1.080826934,1.109116261,1.164814361
6,EGFRt,2,0.825785874,,,0.982170166,1.037444513,0.978486642,0.92459221,0.971337477
6,EGFRt,3,1.436266027,,,0.846992084,0.804287924,0.940686424,0.966291529,0.863848162
6,Rituximab,1,0.178937337,,,1.680606871,1.425411531,1.256473008,1.881122926,1.571329711
6,Rituximab,2,0.516713225,,,1.246520775,1.16821026,1.182800603,1.485452043,1.792975525
6,Rituximab,3,0.38351331,,,1.067345488,1.391638594,1.152479299,1.592254394,1.762421764
3,CD19,1,1.335463905,,1.05565274,0.99906127,1.278214418,0.98768852,0.936726195,1.227657115
3,CD19,2,0.842904705,,1.333117832,0.741121353,1.226110605,0.992926569,0.858401378,1.135925627
3,CD19,3,2.99088515,,1.084509368,0.807325845,1.116460437,0.990987422,0.885484171,1.254664242
3,EGFRt,1,0.820814745,,0.741123156,0.725191322,0.699866647,1.014737455,0.932119417,1.037110224
3,EGFRt,2,0.989091924,,0.966346699,0.650689633,0.867656334,0.905464958,0.920023094,0.890774243
3,EGFRt,3,1.430212657,,1.504468572,1.624119045,1.432477019,1.079797587,1.147857489,1.072115533
3,GD2,1,2.072542777,,0.867037147,0.857797323,0.767754973,1.10773876,0.880851079,0.86339875
3,GD2,2,2.096472057,,0.884693849,0.956505272,1.108501056,1.054543088,0.90227815,1.111473289
3,GD2,3,3.112736621,,0.698296642,1.10478794,1.662431184,1.149063575,0.948069203,1.293015342
3,RFR-LCDR,1,1.317914431,,0.846191664,0.831229077,1.077911839,0.899148245,0.757426566,1.398310126
3,RFR-LCDR,2,2.060882842,,0.79206786,1.025043509,1.51930422,0.939967834,0.781480529,1.163704497
3,RFR-LCDR,3,1.277291185,,1.312622234,1.174216619,1.981853966,1.078000759,0.92706534,1.785755964
3,Leu16,1,0.973194542,,1.16582369,0.770167505,0.755584582,1.017898514,0.922213588,1.259478173
3,Leu16,2,1.898905611,,0.907350889,0.980783073,1.068487041,0.849688968,0.702172326,0.972844489
3,Leu16,3,1.313746857,,0.943632773,0.778597581,0.742448144,0.867220315,0.738858135,1.210485447
3,Rituximab,1,1.847636603,,1.667531101,1.026541387,1.89590187,1.102952838,0.943753786,1.248039555
3,Rituximab,2,1.656572316,,1.211337851,1.451278927,3.369654037,1.152024439,1.141351329,1.543022404
3,Rituximab,3,0.865373766,,1.361927609,1.703824812,2.217251874,1.359204492,0.926061867,1.592832179
